Pk,Pos,Ht,Wt
willini01,G,6-2,190
willico02,F,6-7,245
willizi01,F-C,6-6,284
willike02,F-C,7-0,220
willode01,G-F,6-3,180
wilsodj01,F,6-10,231
wilsoja03,F,6-8,225
wilsoja02,F,6-7,230
wilsotr01,F,6-7,210
wiltjky01,F,6-10,240
winchke01,G-F,6-5,210
windldy01,G-F,6-6,196
wingada01,G-F,6-5,185
wingfdo01,F,6-8,256
winslju01,F,6-6,222
winstca01,G,6-1,185
wintetr01,C,7-0,275
wisemja01,C,7-0,240
witheje01,C,7-0,231
wittmra01,G-F,6-6,210
wolfjo01,F-C,6-11,230
wolkoru01,F,6-10,270
woltena01,G,6-4,190
wongis01,G,6-4,184
woodch01,F,6-8,214
woodda01,F,6-9,227
woodaro01,F,6-6,235
woodslo01,F-C,7-1,245
woodsqy01,F,6-8,221
woodsra01,G,5-10,185
woolror01,F,6-9,215
workmha01,G,6-2,180
artesro01,F,6-7,260
worthja01,F,6-9,225
wrighan01,G-F,6-7,210
wrighbr02,G,6-3,210
wrighbr03,F-C,6-10,210
wrighch01,F,6-8,226
wrighch02,G,6-1,210
wrighde01,G,6-5,185
wrighdo01,F-G,6-9,205
wrighho02,F,6-8,220
wrighju01,F,6-8,225
wrighlo02,F-C,6-11,225
wrighlu01,C,7-2,270
wrighmc01,G,6-0,196
wrighmo01,F,6-9,233
wrighsh01,F-C,6-11,260
wrighju02,G,6-0,190
wroteto01,G,6-6,205
yabusgu01,F,6-8,260
yarbrvi01,G-F,6-7,210
yorkga01,G,6-3,185
youngda01,G,6-3,175
youngja01,G-F,6-6,215
youngjo01,G,6-2,180
youngko01,F,6-7,213
youngmi01,F-G,6-7,220
youngni01,G-F,6-7,210
youngsa01,F,6-6,220
youngth01,F,6-8,235
youngti01,C,7-0,220
youngtr01,G,6-1,164
yuesu01,G,6-9,205
yurtsom01,C,7-0,264
zelleco01,C-F,6-11,240
zellelu01,C,6-11,245
zellety01,F-C,7-0,253
zhizhwa01,C,7-0,255
zidekge01,C,7-0,250
zimmede01,G,6-3,195
zimmest01,C,7-0,240
zipsepa01,G-F,6-8,215
zizican01,F-C,6-10,266
zubaciv01,C,7-0,240
