Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
2021,76ers,49,23,0.681,1st of 5,5.28,99.5,0.3,113.2,0.9,107.6,-4.7,5.6,5.6,2nd Rnd. Exit,1,1,0.635
2013,Nuggets,57,25,0.695,2nd of 5,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,5.3,5.3,1st Rnd. Exit,0,1,0.633
2004,Lakers,56,26,0.683,1st of 7,4.35,92.3,2.2,105.5,2.6,101.3,-1.6,4.2,4.2,Finals,3,1,0.633
1991,Celtics,56,26,0.683,1st of 6,5.22,98.5,0.7,112.6,4.7,106.7,-1.2,5.9,5.9,2nd Rnd. Exit,1,1,0.632
2006,Suns,54,28,0.659,1st of 5,5.48,95.8,5.3,111.5,5.3,105.8,-0.4,5.7,5.7,Conf. Finals,2,1,0.631
1995,Suns,59,23,0.72,1st of 7,3.86,95.9,3,114.5,6.2,110.4,2.1,4.1,4.1,2nd Rnd. Exit,1,1,0.630
2000,Pacers,56,26,0.683,1st of 8,4.15,93.1,0,108.5,4.4,103.6,-0.5,4.9,4.9,Finals,3,1,0.629
2001,Lakers,56,26,0.683,1st of 7,3.74,91.7,0.4,108.4,5.4,104.8,1.8,3.6,3.6,Championship,4,0,0.629
1999,Pacers,33,17,0.66,1st of 8,3.86,86.4,-2.5,108.7,6.5,104.4,2.2,4.3,4.3,Conf. Finals,2,1,0.628
2004,Kings,55,27,0.671,2nd of 7,5.41,92.8,2.7,110.3,7.4,104.9,2,5.4,5.4,2nd Rnd. Exit,1,1,0.627
2011,Celtics,56,26,0.683,1st of 5,4.83,90.4,-1.7,106.2,-1.1,100.3,-7,5.9,5.9,2nd Rnd. Exit,1,1,0.624
2002,Mavericks,57,25,0.695,2nd of 7,4.41,92.8,2.1,112.2,7.7,107.7,3.2,4.5,4.5,2nd Rnd. Exit,1,1,0.624
2013,Grizzlies,56,26,0.683,2nd of 5,4.32,88.4,-3.6,104.9,-1,100.3,-5.6,4.6,4.6,Conf. Finals,2,1,0.623
1997,Rockets,57,25,0.695,2nd of 7,3.85,91.6,1.5,108.8,2.1,104,-2.7,4.8,4.7,Conf. Finals,2,1,0.622
1994,Suns,56,26,0.683,2nd of 7,4.68,96.7,1.6,111.7,5.4,106.8,0.5,4.9,4.9,2nd Rnd. Exit,1,1,0.621
2001,76ers,56,26,0.683,1st of 7,3.64,90.6,-0.7,103.6,0.6,98.9,-4.1,4.7,4.7,Finals,3,1,0.618
2016,Raptors,56,26,0.683,1st of 5,4.08,92.9,-2.9,110,3.6,105.2,-1.2,4.8,4.8,Conf. Finals,2,1,0.618
1992,Suns,53,29,0.646,3rd of 7,5.68,99.4,2.8,112.1,3.9,106.2,-2,5.9,5.9,2nd Rnd. Exit,1,1,0.615
2010,Suns,54,28,0.659,2nd of 5,4.67,95.3,2.6,115.3,7.7,110.2,2.6,5.1,5.1,Conf. Finals,2,1,0.614
2014,Heat,54,28,0.659,1st of 5,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,5.1,5.1,Finals,3,1,0.613
2015,Rockets,56,26,0.683,1st of 5,3.82,96.5,2.6,107,1.4,103.4,-2.2,3.6,3.6,Conf. Finals,2,1,0.613
2008,Suns,55,27,0.671,2nd of 5,5.14,96.7,4.3,113.3,5.8,108.1,0.6,5.2,5.2,1st Rnd. Exit,0,1,0.610
1998,Heat,55,27,0.671,1st of 7,5.09,87.9,-2.4,107.6,2.6,102,-3,5.6,5.6,1st Rnd. Exit,0,1,0.609
2014,Pacers,56,26,0.683,1st of 5,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,4.8,4.8,Conf. Finals,2,1,0.609
2000,Jazz,55,27,0.671,1st of 7,4.52,89.6,-3.5,107.3,3.2,102.3,-1.8,5,5.0,2nd Rnd. Exit,1,1,0.609
1994,Spurs,55,27,0.671,2nd of 6,5.05,90.1,-5,110.4,4.1,104.6,-1.7,5.8,5.8,1st Rnd. Exit,0,1,0.608
2010,Jazz,53,29,0.646,2nd of 5,5.33,93.8,1.1,110.7,3.1,105,-2.6,5.7,5.7,2nd Rnd. Exit,1,1,0.608
2000,Spurs,53,29,0.646,2nd of 7,5.92,90.8,-2.3,105,0.9,98.6,-5.5,6.4,6.4,1st Rnd. Exit,0,1,0.608
1997,Pistons,54,28,0.659,3rd of 8,5.45,84.5,-5.6,110.6,3.9,104.4,-2.3,6.2,6.1,1st Rnd. Exit,0,1,0.607
2000,Suns,53,29,0.646,3rd of 7,5.24,94,0.9,104.6,0.5,99,-5.1,5.6,5.6,2nd Rnd. Exit,1,1,0.606
2023,Bucks,58,24,0.707,1st of 5,3.61,100.5,1.4,115.4,0.6,111.9,-2.9,3.5,3.5,1st Rnd. Exit,0,1,0.606
2021,Nuggets,47,25,0.653,2nd of 5,4.82,97.1,-2.1,117.1,4.8,112.1,-0.2,5,5.0,2nd Rnd. Exit,1,1,0.605
1998,Suns,56,26,0.683,3rd of 7,4.44,91.4,1.1,107.4,2.4,101.8,-3.2,5.6,5.6,1st Rnd. Exit,0,1,0.605
2011,Thunder,55,27,0.671,1st of 5,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,4,4.0,Conf. Finals,2,1,0.604
2008,Rockets,55,27,0.671,3rd of 5,4.83,90.4,-2,106.8,-0.7,101.6,-5.9,5.2,5.2,1st Rnd. Exit,0,1,0.604
2015,Cavaliers,53,29,0.646,1st of 5,4.08,92.3,-1.6,111.1,5.5,106.3,0.7,4.8,4.8,Finals,3,1,0.604
1990,Jazz,55,27,0.671,2nd of 7,4.82,96.1,-2.2,110.3,2.2,105.4,-2.7,4.9,4.9,1st Rnd. Exit,0,1,0.603
2021,Nets,48,24,0.667,2nd of 5,4.24,99.5,0.3,118.3,6,113.8,1.5,4.5,4.5,2nd Rnd. Exit,1,1,0.603
1999,Heat,33,17,0.66,1st of 7,5.11,84.8,-4.1,104.7,2.5,98.9,-3.3,5.8,5.8,1st Rnd. Exit,0,1,0.601
1997,Knicks,57,25,0.695,2nd of 7,3.31,90.5,0.4,104.4,-2.3,101,-5.7,3.4,3.3,2nd Rnd. Exit,1,1,0.601
2019,TrailBlazers,53,29,0.646,2nd of 5,4.43,99.1,-0.9,114.7,4.3,110.5,0.1,4.2,4.2,Conf. Finals,2,1,0.601
2019,Rockets,53,29,0.646,1st of 5,4.96,97.9,-2.1,115.5,5.1,110.7,0.3,4.8,4.8,2nd Rnd. Exit,1,1,0.600
1997,Lakers,56,26,0.683,2nd of 7,3.66,91.1,1,108.3,1.6,103.7,-3,4.6,4.5,2nd Rnd. Exit,1,1,0.600
2014,Rockets,54,28,0.659,2nd of 5,5.06,96.3,2.4,111,4.3,106.3,-0.4,4.7,4.7,1st Rnd. Exit,0,1,0.599
2014,TrailBlazers,54,28,0.659,2nd of 5,4.44,94.9,1,111.5,4.8,107.4,0.7,4.1,4.1,2nd Rnd. Exit,1,1,0.598
2009,TrailBlazers,54,28,0.659,2nd of 5,5,86.6,-5.1,113.9,5.6,107.8,-0.5,6.1,6.1,1st Rnd. Exit,0,1,0.598
1990,Spurs,56,26,0.683,1st of 7,3.58,98.5,0.2,107.7,-0.4,104.2,-3.9,3.5,3.5,2nd Rnd. Exit,1,1,0.598
2023,76ers,54,28,0.659,2nd of 5,4.37,96.9,-2.2,117.7,2.9,113.3,-1.5,4.4,4.4,2nd Rnd. Exit,1,1,0.597
2022,Heat,53,29,0.646,1st of 5,4.23,95.9,-2.3,113.7,1.7,109.1,-2.9,4.6,4.6,Conf. Finals,2,1,0.596
2005,Pistons,54,28,0.659,1st of 5,3.31,87.2,-3.7,105.6,-0.5,101.2,-4.9,4.4,4.4,Finals,3,1,0.596
